road_name,edge_id,length_meters,avg_deviation,max_deviation
Wye Street_1,285922506->285923055,120.99867865963722,0,0
Bailey Street_5,285732205->285732207,120.98002939274872,0,0
Date Street_5,285732114->285732124,120.85396711975315,0,0
Bailey Street_1,285732111->285732207,120.48432735937583,0,0
Rex Avenue_1,285923216->285923224,120.3463794932418,0,0
Garden Grove Parade_1,285732129->1840020316,120.32731497564251,0,0
Young Road_7,285923275->285923307,120.2995088719054,0,0
Duke Street_1,285923230->285923234,120.1900572885199,0,0
Garden Grove Parade_2,1840020316->1840020331,119.76233075065547,0,0
Monash Road_4,285923212->285923227,119.27347309876951,0,0
Hobart Road_15,337344524->367128369,118.97171429072542,0,0
Victoria Street_11,285732089->1436939674,118.86157545589121,0,0
Rugby Road_2,1843667352->2676303872,118.51003220701654,0,0
Fourth Street_5,285732229->285732230,117.30250059296888,0,0
Teralba Road_2,285732076->1436939673,117.23165504300691,0,0
Glebe Road_5,272224405->285732088,117.22388575853364,0,0
Third Street_2,285732248->1840020268,117.16858055087972,0,0
Brunker Road_7,272224405->272225716,117.1473342850704,0,0
Eighth Street_1,285732211->1840020286,117.14590854996321,0,0
Date Street_7,285732117->285732232,117.1214274758214,0,0
Date Street_2,174779068->285732077,117.03295441539791,0,0
Bourke Street_3,1436939676->2375001656,116.6944992048516,0,0
Victoria Street_3,272225716->285732087,116.67727708985807,0,0
Belmore Street_1,272223869->2474738239,116.33258983173091,0,0
Bryant Street_4,285732082->1848248256,116.27234027564276,0,0
Baker Street_1,285923671->445402383,116.04149201135688,0,0
Gosford Road_2,285732087->285732088,115.99107140657358,0,0
Westcourt Road_1,285923659->285923726,115.85004150347268,0,0
Morgan Street_2,285732084->285732085,115.67413849371654,0,0
Buxton Street_2,285732079->1839861628,115.66128193685323,0,0
Date Street_8,285732232->285732235,115.61004150571448,0,0
Bourke Street_1,285732060->285732233,115.58743967352696,0,0
Errington Avenue_4,1843667491->6137125728,114.83938435461505,0,0
Wickham Road_5,1843667394->6027609579,114.7128504535482,0,0
Wood Street_6,1436939674->2375001658,114.50526028955863,0,0
Rugby Road_3,1843667384->2676303887,114.4575640520026,0,0
Avondale Road_2,285923655->285923657,114.04882676716032,0,0
