segment_id,osm_id,node_u,node_v,name,road_type,length,has_geometry
1386575351_285923063_285923339,1386575351,285923063,285923339,Orlando Road,residential,171.27200000000002,True
256934882_285923082_420057113,256934882,285923082,420057113,Young Road,tertiary,18.269,True
185076116_285923082_285923102,185076116,285923082,285923102,Durham Road,residential,121.839,True
"[822222312, 256934882]_285923082_285923307","[822222312, 256934882]",285923082,285923307,Young Road,tertiary,181.86900000000003,True
"[32656467, 822222308]_285923102_285923134","[32656467, 822222308]",285923102,285923134,Wallarah Road,residential,138.515,True
173160009_285923134_285923307,173160009,285923134,285923307,Womboin Road,residential,274.9359999999999,True
"[173160009, 822222311]_285923134_1843667295","[173160009, 822222311]",285923134,1843667295,Womboin Road,residential,181.806,True
232951491_285923134_1843667338,232951491,285923134,1843667338,Wallarah Road,residential,222.81799999999998,True
232951490_285923171_285923172,232951490,285923171,285923172,Wallarah Road,residential,106.31500000000001,True
"[788303537, 573325154]_285923171_1843667366","[788303537, 573325154]",285923171,1843667366,Hobart Road,residential,215.486,True
"[232951491, 822222310]_285923171_1843667338","[232951491, 822222310]",285923171,1843667338,Wallarah Road,residential,161.89199999999997,True
173577857_285923172_1843667393,173577857,285923172,1843667393,Thalaba Road,residential,232.008,True
173577857_285923172_1843667382,173577857,285923172,1843667382,Thalaba Road,residential,221.36899999999997,True
232951490_285923172_285923801,232951490,285923172,285923801,Wallarah Road,residential,85.644,True
173160034_285923183_285923198,173160034,285923183,285923198,Monash Road,residential,85.027,True
173160034_285923183_1843667338,173160034,285923183,1843667338,Monash Road,residential,93.14699999999999,True
173577851_285923183_367128371,173577851,285923183,367128371,Henderson Street,residential,163.072,True
173160034_285923198_285923212,173160034,285923198,285923212,Monash Road,residential,81.88,True
173577893_285923198_367128370,173577893,285923198,367128370,Hitchcock Avenue,residential,196.287,True
173160018_285923206_367128369,173160018,285923206,367128369,Marina Avenue,residential,13.596,True
1301238056_285923206_285923805,1301238056,285923206,285923805,Hobart Road,residential,60.691,True
173160018_285923212_285923230,173160018,285923212,285923230,Marina Avenue,residential,80.884,True
173160034_285923212_285923227,173160034,285923212,285923227,Monash Road,residential,119.03899999999999,True
173160018_285923216_285923230,173160018,285923216,285923230,Marina Avenue,residential,76.958,True
173160006_285923216_285923224,173160006,285923216,285923224,Rex Avenue,residential,120.10499999999999,True
173160018_285923216_367128369,173160018,285923216,367128369,Marina Avenue,residential,76.40299999999999,True
173160012_285923224_285923234,173160012,285923224,285923234,Gloucester Avenue,residential,74.154,True
173160006_285923224_1839861553,173160006,285923224,1839861553,Rex Avenue,residential,83.077,True
173160012_285923227_285923234,173160012,285923227,285923234,Gloucester Avenue,residential,80.433,True
"[173160034, 822222309]_285923227_1839861547","[173160034, 822222309]",285923227,1839861547,Monash Road,residential,93.038,True
173159995_285923230_285923234,173159995,285923230,285923234,Duke Street,residential,119.952,True
173160010_285923275_11198500742,173160010,285923275,11198500742,Central Street,residential,131.29500000000002,True
822222312_285923275_285923307,822222312,285923275,285923307,Young Road,tertiary,120.19,True
174080911_285923501_1843667400,174080911,285923501,1843667400,Carrington Parade,residential,96.83200000000002,True
"[688596929, 26234142]_285923501_2678502918","[688596929, 26234142]",285923501,2678502918,Lookout Road,trunk,235.62,True
173577937_285923542_285923664,173577937,285923542,285923664,Wickham Road,residential,33.569,True
173577937_285923542_6027609580,173577937,285923542,6027609580,Wickham Road,residential,66.478,True
173577954_285923542_1843667358,173577954,285923542,1843667358,Chiplin Street,residential,102.646,True
173577836_285923568_1843667319,173577836,285923568,1843667319,Railway Road,residential,39.475,True
173577928_285923568_1843667320,173577928,285923568,1843667320,Astbury Street,residential,332.785,True
173577836_285923579_285923587,173577836,285923579,285923587,Railway Road,residential,38.332,True
173577836_285923579_285923660,173577836,285923579,285923660,Railway Road,residential,98.494,True
173577927_285923579_1843667320,173577927,285923579,1843667320,Noela Avenue,residential,87.544,True
173577937_285923587_285923663,173577937,285923587,285923663,Wickham Road,residential,38.315,True
263171728_285923587_1843667315,263171728,285923587,1843667315,Railway Road,residential,235.699,True
"[212658680, 261166338, 30533989]_285923598_1839861589","[212658680, 261166338, 30533989]",285923598,1839861589,"['Russell Road', 'Jellicoe Parade']",residential,285.79699999999997,True
212658680_285923598_285923803,212658680,285923598,285923803,Russell Road,residential,74.805,True
329228882_285923598_367125797,329228882,285923598,367125797,Bridges Road,primary,93.819,True
329228882_285923598_1843667427,329228882,285923598,1843667427,Bridges Road,primary,100.826,True
1140387819_285923628_7013608463,1140387819,285923628,7013608463,Lambton Road,secondary,9.421,True
454125585_285923628_417729871,454125585,285923628,417729871,Alma Road,primary,43.364000000000004,True
750047501_285923628_285923813,750047501,285923628,285923813,Lambton Road,primary,51.643,True
173577845_285923652_285923655,173577845,285923652,285923655,Avondale Road,residential,55.076,True
573325156_285923652_1843667352,573325156,285923652,1843667352,Hobart Road,residential,232.525,True
35932471_285923655_2676303869,35932471,285923655,2676303869,Lambton Road,secondary,216.147,True
35932471_285923655_739712119,35932471,285923655,739712119,Lambton Road,secondary,81.67399999999999,True
173577845_285923655_285923657,173577845,285923655,285923657,Avondale Road,residential,114.013,True
173577833_285923657_1843667384,173577833,285923657,1843667384,Regent Street,residential,222.827,True
173577833_285923657_1843667319,173577833,285923657,1843667319,Regent Street,residential,226.47299999999998,True
633289762_285923657_5978163993,633289762,285923657,5978163993,Avondale Road,residential,128.397,True
173160001_285923659_5633823575,173160001,285923659,5633823575,Rugby Road,primary,104.675,True
232951376_285923659_285923726,232951376,285923659,285923726,Westcourt Road,residential,115.97200000000001,True
232951376_285923659_285923781,232951376,285923659,285923781,Westcourt Road,residential,71.26400000000001,True
