Edge_ID,Street_Name,Start_Node,End_Node,Length_m,Total_Appearances,Cycle_1,Cycle_2,Cycle_3,Cycle_4,Cycle_5,Cycle_6,Cycle_7,Cycle_8,Cycle_9,Cycle_10,Cycle_11,Cycle_12,Cycle_13,Cycle_14,Cycle_15,Cycle_16,Cycle_17,Cycle_18,Cycle_19,Cycle_20,Cycle_21,Cycle_22,Cycle_23,Cycle_24,Cycle_25,Cycle_26,Cycle_27,Cycle_28,Cycle_29,Cycle_30
276839881-1840020291,Meredith Street,276839881,1840020291,220.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020278-6144518511,Woodlands Avenue,1840020278,6144518511,225.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839898-1840020266,Fay Avenue,276839898,1840020266,57.5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6144518497-12446969779,Orchardtown Road,6144518497,12446969779,2.8,17,0,0,2,2,0,0,1,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
12446969779-12446969783,Fay Avenue,12446969779,12446969783,49.6,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020279-1840020292,Allan Street,1840020279,1840020292,193.1,23,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,2,1,2,2,2,2,2,2,0,0,0
276839791-1840020279,Birdwood Street / Allan Street,276839791,1840020279,229.4,24,0,0,0,2,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,2,1,2,2,2,2,2,2,0,0,0
276839788-276839791,Birdwood Street,276839788,276839791,55.3,25,0,0,0,3,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,2,1,2,2,2,2,2,2,0,0,0
276839788-1840020259,Freeman Street,276839788,1840020259,80.5,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020259-1840020271,Ball Street,1840020259,1840020271,88.2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839882-1840020279,Woodlands Avenue,276839882,1840020279,175.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2643520648-12446969779,Orchardtown Road,2643520648,12446969779,110.0,14,0,0,0,1,0,0,1,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
276839790-2643520648,Carnley Avenue,276839790,2643520648,283.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839788-276839790,Birdwood Street,276839788,276839790,77.9,23,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,2,2,1,2,2,2,2,2,2,0,0,0
276839791-12446969783,Ann Parade,276839791,12446969783,291.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020273-12446969783,Fay Avenue,1840020273,12446969783,161.3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839863-2678539025,Carnley Avenue,276839863,2678539025,335.3,16,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2
910344995-2678539025,Carnley Avenue,910344995,2678539025,139.5,16,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2
859539998-910344995,Carnley Avenue,859539998,910344995,43.7,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
276839776-859539998,Carnley Avenue,276839776,859539998,13.3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839776-2686145857,Charlestown Road,276839776,2686145857,212.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249344215-2686145857,Charlestown Road,249344215,2686145857,320.4,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
249344204-249344215,Unnamed Road,249344204,249344215,38.5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249344204-859536460,Cardiff Road,249344204,859536460,66.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859536457-859536460,Lookout Road,859536457,859536460,41.8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
249344204-859536457,Cardiff Road,249344204,859536457,33.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249344204-1843821998,Cardiff Road,249344204,1843821998,238.3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839873-2686145857,Hurn Street,276839873,2686145857,14.7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
276839873-1843843599,Hurn Street,276839873,1843843599,69.6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839873-859539998,Charlestown Road,276839873,859539998,210.5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
1843843618-2692226776,Grinsell Street,1843843618,2692226776,424.7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910344995-2678539054,Carnley Avenue,910344995,2678539054,25.6,10,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2
2678539054-6038247553,Unnamed Road,2678539054,6038247553,35.9,10,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2
859539999-6038247553,Charlestown Road,859539999,6038247553,188.3,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2
249344207-859539999,Peatties Road,249344207,859539999,14.0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249344207-10617242268,Charlestown Road,249344207,10617242268,209.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839776-10617242268,Charlestown Road,276839776,10617242268,7.7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10617242267-10617242268,Carnley Avenue,10617242267,10617242268,13.2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2678539054-10617242267,Carnley Avenue,2678539054,10617242267,25.6,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859539998-10617242267,Charlestown Road,859539998,10617242267,7.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6038247553-10617242267,Charlestown Road,6038247553,10617242267,21.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2643520648-8975857810,Orchardtown Road,2643520648,8975857810,26.0,13,0,0,0,0,0,0,1,1,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
285923942-8975857810,Orchardtown Road,285923942,8975857810,101.4,13,0,0,0,0,0,0,2,0,2,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
285923942-1840020223,Orchardtown Road,285923942,1840020223,25.5,11,0,0,0,0,0,0,2,0,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
369643079-1840020223,Myra Street,369643079,1840020223,127.5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8975857810-8975857811,Unnamed Road,8975857810,8975857811,24.5,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2643520648-8975857811,Carnley Avenue,2643520648,8975857811,26.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1869447615-2643520648,Carnley Avenue,1869447615,2643520648,775.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3706568807-5859330886,Unnamed Road,3706568807,5859330886,173.6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839789-8975857811,Carnley Avenue,276839789,8975857811,260.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839789-276839790,Birdwood Street,276839789,276839790,12.4,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,1,1,1,0,2,0,2,0,0,0,0
276839790-2676461913,Carnley Avenue,276839790,2676461913,216.7,11,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,2,0,2,0,0,0
2676461913-7095701989,Unnamed Road,2676461913,7095701989,22.4,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839789-7095701989,Carnley Avenue,276839789,7095701989,216.7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
276839789-285923927,Birdwood Street,276839789,285923927,93.7,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,2,0,1,0,0,0,0
285923927-285924033,Freyberg Street / Knight Street,285923927,285924033,172.1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0
285924033-285924037,Knight Street,285924033,285924037,198.2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
285924037-1843667498,Rydal Street,285924037,1843667498,92.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843667493-1843667498,Birdwood Street,1843667493,1843667498,39.1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
1843667498-1843667503,Birdwood Street,1843667498,1843667503,39.9,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
285923927-1843667503,Birdwood Street,285923927,1843667503,241.1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
285923942-1840020227,Blamey Avenue,285923942,1840020227,18.0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020219-1840020227,Orchardtown Road,1840020219,1840020227,34.4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840020223-1843667517,Orchardtown Road,1840020223,1843667517,55.5,9,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
285923927-1843667517,Freyberg Street,285923927,1843667517,261.1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843667517-5325137595,Orchardtown Road,1843667517,5325137595,82.0,8,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
1843667499-5325137595,Orchardtown Road,1843667499,5325137595,150.0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
285923984-1843667499,Jean Street,285923984,1843667499,111.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285923984-1843667495,Jean Street,285923984,1843667495,12.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843667488-1843667495,Watson Street,1843667488,1843667495,209.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843667488-1843667496,Orchardtown Road,1843667488,1843667496,82.7,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
1843667496-1843667499,Orchardtown Road,1843667496,1843667499,8.3,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
2678539025-6750099546,Carisbrooke Avenue,2678539025,6750099546,281.7,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249344207-7777852060,Charlestown Road,249344207,7777852060,57.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839850-7777852060,Charlestown Road,276839850,7777852060,54.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839849-276839850,Kimbarra Close,276839849,276839850,237.1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839849-276839851,Jacaranda Close,276839849,276839851,98.8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276839850-859539999,Charlestown Road,276839850,859539999,109.5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
